IP,Country,Time,Is Denied?,Deny Reason,OS,Browser,QueryString,Prelanding,Landing
87.116.177.56, RS, 2020-07-07 00:41:37, 0, OK, Android, Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
212.115.121.32, , 2020-07-07 00:44:11, 1, full_cloak, Android, Mozilla/5.0 (Linux; Android 7.0; iQ1452aN Build/NRD90M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/77.0.3865.92 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/238.0.0.14.120;], an=vid2&cn=Amul1&px=669027640315747, ,  
93.86.148.52, RS, 2020-07-07 00:49:41, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.0; 5026D Build/NRD90M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
109.245.175.49, RS, 2020-07-07 00:51:05, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.0; Moto C Build/NRD90M.062; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/80.0.3987.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/266.0.0.64.124;], an=vid2&cn=Amul1&px=669027640315747, 0, 0 
212.200.181.113, RS, 2020-07-07 00:52:25, 0, OK, Android, Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
173.252.95.8, US, 2020-07-07 00:52:26, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.95.8, US, 2020-07-07 00:52:26, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.2, IE, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.6, IE, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.95.15, US, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.21, IE, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
69.171.251.21, US, 2020-07-07 00:52:28, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
69.171.251.3, US, 2020-07-07 00:52:28, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.3, IE, 2020-07-07 00:52:28, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.3, IE, 2020-07-07 00:52:28, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.95.19, US, 2020-07-07 00:52:28, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.116, IE, 2020-07-07 00:52:28, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.112, IE, 2020-07-07 00:52:29, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.79.117, US, 2020-07-07 00:52:35, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.79.8, US, 2020-07-07 00:52:35, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.79.5, US, 2020-07-07 00:52:36, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.79.5, US, 2020-07-07 00:52:36, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
212.200.181.113, RS, 2020-07-07 00:52:39, 0, OK, Android, Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
212.237.189.132, RS, 2020-07-07 00:53:07, 0, OK, Windows, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.116 Safari/537.36, an=vid2&cn=Amul1&fbclid=IwAR3ZyXXblsg_AFgp8HW97Y0hKdV4KpD-wInZTzvqBVyB18rcHTtpJEHCy7I&px=669027640315747, 0, 0 
94.189.197.120, RS, 2020-07-07 00:53:47, 0, OK, Android, Mozilla/5.0 (Linux; Android 6.0.1; SM-G532G Build/MMB29T; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/276.0.0.44.127;], an=vid2&cn=Amul1&px=669027640315747, 0, 0 
173.252.95.6, US, 2020-07-07 00:54:32, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.20, US, 2020-07-07 00:54:43, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.15, US, 2020-07-07 00:54:44, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.29, US, 2020-07-07 00:54:45, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.20, US, 2020-07-07 00:54:46, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.6, US, 2020-07-07 00:54:46, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.6, US, 2020-07-07 00:54:47, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.29, US, 2020-07-07 00:54:47, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
173.252.95.116, US, 2020-07-07 00:54:47, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=%7B%7Bad.name%7D%7D&cn=%7B%7Bcampaign.name%7D%7D&px=988490178264083, ,  
212.237.189.132, RS, 2020-07-07 00:54:58, 0, OK, Windows, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.116 Safari/537.36, an=vid2&cn=Amul1&fbclid=IwAR3ZyXXblsg_AFgp8HW97Y0hKdV4KpD-wInZTzvqBVyB18rcHTtpJEHCy7I&px=669027640315747, 1, 0 
173.252.87.21, US, 2020-07-07 00:55:14, 1, full_cloak, iOS, Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML  like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1, an=vid1&cn=Amul4&fbclid=IwAR0pqnbGHNSFe9eItn2DELq7t47zFlKyJZFkHVK_kgND_MuHFaiOvkyCmMU&px=988490178264083, ,  
173.252.127.14, US, 2020-07-07 00:55:15, 1, full_cloak, unknown, Opera/9.80 (J2ME/MIDP; Opera Mini/4.5.40312/176.158; U; sr) Presto/2.12.423 Version/12.16, an=vid1&cn=Amul4&fbclid=IwAR2gRKTTD5lai0vz55wfM4YA27TNmOMxx6o41vrHX1KSGkKVSVFuR0io8os&px=988490178264083, ,  
173.252.87.13, US, 2020-07-07 00:55:16, 1, full_cloak, Android, Mozilla/5.0 (Linux; Android 9; ANE-LX1) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36, an=vid1&cn=Amul4&fbclid=IwAR2jsUDFj0zRN3jZSymAwW0e8udmVyTsCS2fy8ZYDNX5CUzFZe2lCDyWz4s&px=988490178264083, ,  
69.171.251.13, US, 2020-07-07 00:55:23, 1, full_cloak, Android, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6P Build/MMB29P) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36, an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.127.6, US, 2020-07-07 00:55:23, 1, full_cloak, Android, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6P Build/MMB29P) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36, an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.95.18, US, 2020-07-07 00:55:25, 1, full_cloak, Android, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6P Build/MMB29P) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36, an=vid1&cn=Amul4&px=988490178264083, ,  
77.46.138.139, RS, 2020-07-07 00:56:23, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.1.1; SM-J510FN Build/NMF26X; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 0, 0 
173.252.79.111, US, 2020-07-07 00:59:04, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.79.20, US, 2020-07-07 00:59:05, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.79.21, US, 2020-07-07 00:59:06, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.107.26, US, 2020-07-07 00:59:22, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.79.20, US, 2020-07-07 00:59:31, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.79.20, US, 2020-07-07 00:59:31, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.79.21, US, 2020-07-07 00:59:32, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
173.252.79.11, US, 2020-07-07 00:59:32, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.79.111, US, 2020-07-07 00:59:32, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), an=vid1&cn=Amul4&px=988490178264083, ,  
178.223.94.148, RS, 2020-07-07 00:59:43, 0, OK, Android, Mozilla/5.0 (Linux; Android 10; SM-J600FN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
93.86.148.52, RS, 2020-07-07 00:59:47, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.0; 5026D Build/NRD90M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
109.245.95.82, RS, 2020-07-07 00:59:55, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.1.1; SM-J510FN Build/NMF26X; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/80.0.3987.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/276.0.0.44.127;], an=vid2&cn=Amul1&px=669027640315747, 0, 0 
46.40.42.156, RS, 2020-07-07 01:04:38, 0, OK, Android, Mozilla/5.0 (Linux; Android 8.1.0; DUB-LX1 Build/HUAWEIDUB-LX1; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
87.116.178.133, RS, 2020-07-07 01:06:52, 0, OK, Android, Mozilla/5.0 (Linux; Android 9; Hisense Infinity H30 Lite Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Instagram 148.0.0.33.121 Android (28/9; 320dpi; 720x1406; Hisense; Hisense Infinity H30 Lite; SC9863A; s9863a_fs170; sr_RS_#Latn; 227299060), an=vid2&cn=Amul1&px=669027640315747, 1, 0 
5.164.181.201, RU, 2020-07-07 02:00:53, 0, OK, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0, , p1, land 
5.164.181.201, RU, 2020-07-07 02:00:56, 0, OK, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0, , p2, land 
5.164.181.201, RU, 2020-07-07 02:08:10, 0, OK, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0, , p1, land 
5.164.181.201, RU, 2020-07-07 02:08:38, 0, OK, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0, , p1, land 
